seed,algorithm,primary_cost,total_cost,total_distance,effective_coverage,theoretical_coverage,obstacle_penalty,energy_range_percent,incomplete_tree_ratio,runtime_sec,task_ratio_v1,task_ratio_v2,task_ratio_v3,task_ratio_v4
42,F-LCA,1420.1363620705492,2761.6359341059997,1313.4566755112864,100.0,100.0,561.4720345224358,17.593740921733524,0.0,86.09797215461731,31.25,28.75,23.75,16.25
43,F-LCA,1462.0281963651385,2519.611410815943,1380.4718046347903,100.0,100.0,429.24416700183235,14.157797674573832,0.0,86.1270580291748,32.5,27.5,22.5,17.5
44,F-LCA,1380.6250626393128,1879.8552188236201,1298.1909473550345,100.0,100.0,433.8637646540964,7.671167292786395,0.0,86.61563229560852,32.5,26.25,25.0,16.25
45,F-LCA,1451.918036792663,2466.4410070843624,1347.9778775341085,100.0,100.0,547.0534697818656,13.867821907104958,0.0,87.90248465538025,32.5,26.25,25.0,16.25
46,F-LCA,1347.6788328643768,1865.6405003338486,1281.749951234583,100.0,100.0,346.9941138410192,7.728562279780821,0.0,85.66326594352722,35.0,23.75,25.0,16.25
47,F-LCA,1433.0487526848556,2799.93826215562,1407.7964331668215,100.0,100.0,132.90694483175812,17.037440858571095,0.0,87.95797944068909,36.25,20.0,26.25,17.5
48,F-LCA,1406.2051904422326,2556.0854981225307,1381.4567311639967,100.0,100.0,130.2550488328202,14.996865991431479,0.0,87.17509365081787,32.5,25.0,25.0,17.5
49,F-LCA,1481.8439527025557,2765.887856901085,1328.4611321907307,100.0,100.0,807.2780026938157,17.067718113014905,0.0,85.60156536102295,31.25,26.25,23.75,18.75
50,F-LCA,1312.2977480417728,1766.5974940373528,1267.8189874417621,100.0,100.0,234.0987400000566,7.154831107524673,0.0,83.33089756965637,35.0,26.25,20.0,18.75
51,F-LCA,1504.8636477425327,2567.9018590094224,1381.4369995530096,100.0,100.0,649.6139378395949,13.96679247509046,0.0,86.94421696662903,32.5,27.5,23.75,16.25
52,F-LCA,1511.8800735932678,2822.3642133735016,1472.3322096260504,100.0,100.0,208.1466524590393,16.451638797706238,0.0,86.43518209457397,33.75,27.5,22.5,16.25
53,F-LCA,1335.3431053669747,2444.4943267456356,1277.652739778649,100.0,100.0,303.6335030964513,15.85311082314286,0.0,87.04352355003357,30.0,28.75,25.0,16.25
54,F-LCA,1324.727338931538,2533.6573758309614,1261.3067839359187,100.0,100.0,333.7923947137861,16.895227805645842,0.0,85.86751079559326,32.5,26.25,25.0,16.25
55,F-LCA,1366.1760950328257,2631.7569135539343,1306.110096865862,100.0,100.0,316.13683245770414,17.813616464393302,0.0,84.69229793548584,31.25,28.75,23.75,16.25
56,F-LCA,1591.038405305523,2996.6360682844906,1435.2722864662028,100.0,100.0,819.8216781016846,17.323272313138645,0.0,87.59072065353394,31.25,31.25,20.0,17.5
57,F-LCA,1339.678227053048,2309.8852507604133,1275.7669137269086,100.0,100.0,336.3753332954701,14.019365546517754,0.0,86.07749772071838,32.5,25.0,25.0,17.5
58,F-LCA,1402.1471901480309,2584.763351058875,1316.7354292206508,100.0,100.0,449.5355838283165,16.127305846512584,0.0,85.65841150283813,33.75,25.0,25.0,16.25
59,F-LCA,1348.4709970956822,2210.938448010149,1280.6932206034564,100.0,100.0,356.7251394327672,12.418482971185881,0.0,87.57190656661987,31.25,25.0,25.0,18.75
60,F-LCA,1415.1269058722805,2426.750503765461,1327.9694687087076,100.0,100.0,458.723353492489,13.818211548159343,0.0,85.60368013381958,32.5,26.25,25.0,16.25
61,F-LCA,1439.9760200123665,2415.7754254300153,1340.9233742621097,100.0,100.0,521.3297144750356,13.34207196515016,0.0,88.53699111938477,31.25,27.5,23.75,17.5
